公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
精硕科技（北京）股份有限公司,AdMaster,500-2000人,不需要融资,海淀区,大数据开发工程师,应届毕业生,本科,8k-15k,"优秀团队,扁平管理,行业领先,氛围轻松"
北京周同科技有限公司,周同科技,50-150人,A轮,朝阳区,系统工程师,3-5年,本科,15k-30k,"Linux,MySQL"
高德软件有限公司,阿里巴巴-高德,2000人以上,上市公司,朝阳区,深度信息ETL架构师/工程师,3-5年,本科,30k-50k,晋升空间大
北京亿心宜行汽车技术开发服务有限公司,e代驾,500-2000人,D轮及以上,朝阳区,运维工程师,3-5年,本科,15k-30k,"五险一金,弹性时间,餐补,16薪"
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,知识图谱算法工程师,3-5年,本科,25k-50k,上市公司
央视市场研究股份有限公司,CTR,500-2000人,D轮及以上,西城区,计算机视觉研发工程师,1-3年,本科,15k-30k,"公司规模大,领导亲和,福利待遇优"
广州哲品家居用品有限公司,哲品,150-500人,未融资,朝阳区,BI 开发工程师,3-5年,本科,20k-40k,"五险一金,周末双休,绩效奖金,带薪年假"
北京比特大陆科技有限公司,比特大陆,150-500人,不需要融资,海淀区,IM基础平台高级开发工程师/架构师,5-10年,本科,30k-50k,"成长空间大,薪资待遇高,技术大牛"
杭州绿湾网络科技有限公司,绿湾,150-500人,B轮,海淀区,测试开发工程师,应届毕业生,本科,10k-15k,"学习分享,晋升空间,出国团建,年底双薪"
联通支付有限公司,联通支付有限公司,150-500人,不需要融资,西城区,运维开发工程师,3-5年,本科,15k-30k,扁平管理
北京周同科技有限公司,周同科技,50-150人,A轮,朝阳区,高级系统工程师,3-5年,本科,15k-30k,"8险一金,餐补,团队氛围佳"
环球时报在线（北京）文化传播有限公司,环球网,150-500人,不需要融资,朝阳区,前端开发工程师,1-3年,本科,15k-25k,"弹性工作,带薪年假,五险一金"
同程网络科技股份有限公司,同程艺龙,2000人以上,D轮及以上,朝阳区,Java开发工程师（商品库）,3-5年,本科,18k-32k,"培训培训,晋升空间"
大鱼快乐有限公司,阿里文娱,2000人以上,上市公司,朝阳区,高级前端工程师/专家,3-5年,本科,20k-30k,"发展空间大,公司规模大"
北京奇安信科技有限公司,360企业安全,2000人以上,不需要融资,朝阳区,运维开发工程师,3-5年,本科,15k-25k,"平台成熟,带薪年假,餐贴补助,六险一金"
跨越速运集团有限公司,跨越速运,2000人以上,不需要融资,朝阳区,高级运维工程师(J10558),3-5年,大专,10k-15k,晋升空间大，绩效奖金，扁平管理
贝壳找房（北京）科技有限公司,贝壳,2000人以上,C轮,海淀区,高级大数据开发工程师（Java),3-5年,本科,25k-40k,"15薪,13天年假,免费3餐,六险二金"
北京弘道智慧中医技术有限公司,弘道,50-150人,不需要融资,海淀区,算法工程师,1-3年,硕士,20k-36k,"五险一金,午餐补助,交通补助,通讯补贴"
北京弥财投资咨询有限公司,弥财,50-150人,A轮,朝阳区,中级运维开发工程师,5-10年,本科,18k-28k,"外企环境,行业先驱,零食无限,优秀同事"
北京达佳互联信息技术有限公司,快手,500-2000人,D轮及以上,海淀区,基础平台研发工程师,3-5年,本科,15k-30k,"弹性工作,奖金丰厚,工作氛围好,各种团建"
北京汉能光伏投资有限公司,汉能集团,2000人以上,上市公司,朝阳区,算法工程师,3-5年,本科,13k-26k,"上市公司,福利待遇好,晋升空间大,技术牛人多"
上海海知智能科技有限公司,海知智能,50-150人,A轮,海淀区,爬虫开发工程师,1-3年,本科,20k-40k,人工智能领域最前沿 硅谷技术大牛
北京狸米科技有限公司,狸米科技,150-500人,B轮,朝阳区,高级测试工程师,5-10年,本科,16k-30k,团队管理 上升空间
阳光保险集团股份有限公司,阳光产险信保事业部,2000人以上,不需要融资,朝阳区,算法工程师,3-5年,本科,18k-36k,"背靠阳光,年终奖金多,晋升空间大,互联网团队"
北京翼辉信息技术有限公司,翼辉信息,150-500人,A轮,海淀区,自动化测试开发工程师,不限,本科,8k-15k,"弹性工作,午餐补贴,交通补贴,团队活动"
北京狸米科技有限公司,狸米科技,150-500人,B轮,朝阳区,性能测试工程师,3-5年,本科,15k-25k,团队氛围好，升值空间大，大牛多
